model,eeg_feature,remove_global_connections,remove_baseline_signal_noise_removal,number_test_targets,number_validation_targets,batch_size,hidden_channels,learning_rate,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params
GraphConv,wav,False,False,30,5,4,16,0.0001,2.5512160708506904,0.96875,0.96875,0.96875,0.96875,0.9966980286738351,9005
GraphConv,wav,False,False,30,5,4,32,0.01,3.2750623643398287,0.24166666666666667,0.24166666666666667,0.24166666666666667,0.24166666666666667,0.7200308019713262,28205
GraphConv,wav,False,False,30,5,4,32,0.001,2.5191520899534225,0.9989583333333333,0.9989583333333333,0.9989583333333333,0.9989583333333333,1.0,28205
GraphConv,wav,False,False,30,5,4,32,0.0001,2.611840526262919,0.9052083333333333,0.9052083333333333,0.9052083333333333,0.9052083333333333,0.9969948476702509,28205
GraphConv,wav,False,False,30,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.4851254480286738,358445
GraphConv,wav,False,False,30,5,4,128,0.001,2.5508143295844397,0.9677083333333333,0.9677083333333333,0.9677083333333333,0.9677083333333333,0.9993537186379927,358445
GraphConv,wav,False,False,30,5,4,128,0.0001,2.5193743020296098,0.9989583333333333,0.9989583333333333,0.9989583333333333,0.9989583333333333,0.9999921594982079,358445
GraphConv,wav,False,False,34,5,4,16,0.01,3.0279845271040413,0.4889705882352941,0.4889705882352941,0.4889705882352941,0.4889705882352941,0.883419867591249,9005
GraphConv,wav,False,False,34,5,4,16,0.001,2.7732508813633636,0.7665441176470589,0.7665441176470589,0.7665441176470589,0.7665441176470589,0.9549161457751981,9005
GraphConv,wav,False,False,34,5,4,16,0.0001,3.2544878668644848,0.31893382352941174,0.31893382352941174,0.31893382352941174,0.31893382352941174,0.7630795498939614,9005
GraphConv,wav,False,False,34,5,4,32,0.01,3.230266164330875,0.28308823529411764,0.28308823529411764,0.28308823529411764,0.28308823529411764,0.8163979657327827,28205
GraphConv,wav,False,False,34,5,4,32,0.001,2.6293353727635216,0.8943014705882353,0.8943014705882353,0.8943014705882353,0.8943014705882353,0.9973324659560219,28205
GraphConv,wav,False,False,34,5,4,32,0.0001,3.1761741874849094,0.39246323529411764,0.39246323529411764,0.39246323529411764,0.39246323529411764,0.8568644310190869,28205
GraphConv,wav,False,False,34,5,4,128,0.01,3.3740533660439884,0.13878676470588236,0.13878676470588236,0.13878676470588236,0.13878676470588236,0.7469784225359972,358445
GraphConv,wav,False,False,34,5,4,128,0.001,2.5586298485012615,0.9641544117647058,0.9641544117647058,0.9641544117647058,0.9641544117647058,0.9967246623507088,358445
GraphConv,wav,False,False,34,5,4,128,0.0001,2.5568660182111405,0.9788602941176471,0.9788602941176471,0.9788602941176471,0.9788602941176471,0.9996328761580533,358445
GraphConv,psd,False,False,10,5,4,16,0.01,3.383274790644646,0.13125,0.13125,0.13125,0.13125,0.6719254032258064,9072
GraphConv,psd,False,False,10,5,4,16,0.001,2.7815137565135957,0.74375,0.74375,0.74375,0.74375,0.9585584677419354,9072
GraphConv,psd,False,False,10,5,4,16,0.0001,2.939872884750366,0.578125,0.578125,0.578125,0.578125,0.878850806451613,9072
GraphConv,psd,False,False,10,5,4,32,0.01,3.4571133971214296,0.05625,0.05625,0.05625,0.05625,0.5571169354838711,28336
GraphConv,psd,False,False,10,5,4,32,0.001,2.7424534767866136,0.775,0.775,0.775,0.775,0.9754788306451613,28336
GraphConv,psd,False,False,10,5,4,32,0.0001,2.7035157084465027,0.8125,0.8125,0.8125,0.8125,0.9804133064516128,28336
GraphConv,psd,False,False,10,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.5,358960
