model,eeg_feature,remove_global_connections,remove_baseline_signal_noise_removal,number_test_targets,number_validation_targets,batch_size,hidden_channels,learning_rate,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params
GraphConv,wav,False,False,20,5,4,32,0.0001,2.558614784479141,0.959375,0.959375,0.959375,0.959375,0.9997967950708596,28205
GraphConv,wav,False,False,20,5,4,128,0.01,3.4695355623960493,0.0484375,0.0484375,0.0484375,0.0484375,0.5153571424180365,358445
GraphConv,wav,False,False,20,5,4,128,0.001,2.518388405442238,1.0,1.0,1.0,1.0,1.0,358445
GraphConv,wav,False,False,20,5,4,128,0.0001,2.5197253823280334,0.9984375,0.9984375,0.9984375,0.9984375,1.0,358445
GraphConv,wav,False,False,30,5,4,16,0.01,3.265210447708766,0.25104166666666666,0.25104166666666666,0.25104166666666666,0.25104166666666666,0.7315460949090162,9005
GraphConv,wav,False,False,30,5,4,16,0.001,2.688252626856168,0.8322916666666667,0.8322916666666667,0.8322916666666667,0.8322916666666667,0.9627295580189688,9005
GraphConv,wav,False,False,30,5,4,16,0.0001,2.811389312148094,0.7052083333333333,0.7052083333333333,0.7052083333333333,0.7052083333333333,0.9571103821151834,9005
GraphConv,wav,False,False,30,5,4,32,0.01,3.287050860126813,0.22708333333333333,0.22708333333333333,0.22708333333333333,0.22708333333333333,0.7181933130910649,28205
GraphConv,wav,False,False,30,5,4,32,0.001,2.6150216271479922,0.9020833333333333,0.9020833333333333,0.9020833333333333,0.9020833333333333,0.9928447976949037,28205
GraphConv,wav,False,False,30,5,4,32,0.0001,2.651546886563301,0.8645833333333334,0.8645833333333333,0.8645833333333334,0.8645833333333334,0.9914732496008642,28205
GraphConv,wav,False,False,30,5,4,128,0.01,3.4238807866970697,0.09479166666666666,0.09479166666666666,0.09479166666666666,0.09479166666666666,0.5450031994359661,358445
GraphConv,wav,False,False,30,5,4,128,0.001,2.5523354907830558,0.9645833333333333,0.9645833333333333,0.9645833333333333,0.9645833333333333,0.9997319449618479,358445
GraphConv,wav,False,False,30,5,4,128,0.0001,2.5204675743977227,0.9979166666666667,0.9979166666666667,0.9979166666666667,0.9979166666666667,0.999980750361063,358445
GraphConv,wav,False,False,34,5,4,16,0.01,3.093996172442156,0.42463235294117646,0.42463235294117646,0.42463235294117646,0.42463235294117646,0.8164180343536983,9005
GraphConv,wav,False,False,34,5,4,16,0.001,3.0370772603680107,0.49080882352941174,0.49080882352941174,0.49080882352941174,0.49080882352941174,0.8377060316214491,9005
GraphConv,wav,False,False,34,5,4,16,0.0001,3.060612208702985,0.4568014705882353,0.4568014705882353,0.4568014705882353,0.4568014705882353,0.8190562475324006,9005
GraphConv,wav,False,False,34,5,4,32,0.01,3.2052680061143985,0.3115808823529412,0.3115808823529412,0.3115808823529412,0.3115808823529412,0.7620426824762145,28205
GraphConv,wav,False,False,34,5,4,32,0.001,3.0477040699299645,0.46599264705882354,0.4659926470588236,0.46599264705882354,0.46599264705882354,0.8170741304117398,28205
GraphConv,wav,False,False,34,5,4,32,0.0001,2.9947614406838134,0.5220588235294118,0.5220588235294118,0.5220588235294118,0.5220588235294118,0.8618540743948898,28205
GraphConv,wav,False,False,34,5,4,128,0.01,3.3777500180637134,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.6232097726991314,358445
GraphConv,wav,False,False,34,5,4,128,0.001,2.854613003485343,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.9471069905944834,358445
GraphConv,wav,False,False,34,5,4,128,0.0001,2.9365771658280315,0.578125,0.578125,0.578125,0.578125,0.8851249602170171,358445
GraphConv,psd,False,False,10,5,4,16,0.01,3.493040180206299,0.025,0.025000000000000005,0.025,0.025,0.5206118986912289,9072
GraphConv,psd,False,False,10,5,4,16,0.001,2.9305507063865663,0.596875,0.596875,0.596875,0.596875,0.9191486172864252,9072
GraphConv,psd,False,False,10,5,4,16,0.0001,2.943619614839554,0.571875,0.571875,0.571875,0.571875,0.9012486224370884,9072
GraphConv,psd,False,False,10,5,4,32,0.01,3.349525994062424,0.1625,0.1625,0.1625,0.1625,0.6322506099150272,28336
GraphConv,psd,False,False,10,5,4,32,0.001,3.023714506626129,0.49375,0.49375,0.49375,0.49375,0.8744447638024495,28336
GraphConv,psd,False,False,10,5,4,32,0.0001,3.009940618276596,0.503125,0.503125,0.503125,0.503125,0.9039828151086453,28336
GraphConv,psd,False,False,10,5,4,128,0.01,3.499290180206299,0.01875,0.01875,0.01875,0.01875,0.49190040471326885,358960
